Event_ID,ticker,gvkey,fiscal_month,cusip,name,fiscal_year,event_year,event_date,confound_dum,confound_type,breach_size,breach_type,event_state,hq_state
1,AMR,1388,12,23771009,AMR Corporation,2010,2010,04/06/2010,0,none,79000,PORT,Texas,Texas
2,CPS,65156,12,170388102,ChoicePoint,2005,2005,15/02/2005,0,none,163000,INSD,Georgia,Georgia
3,BAC,7647,12,60505104,Bank of America Corp.,2005,2005,24/02/2005,0,none,1200000,PORT,North Carolina,North Carolina
4,IRM,62374,12,46284V101,"Time Warner, Iron Mountain Inc.",2005,2005,02/05/2005,0,none,600000,PORT,New York,New York
5,KODK,4194,12,277461406,Eastman Kodak,2005,2005,22/06/2005,0,none,5800,PORT,New York,New York
6,BAC,7647,12,60505104,Bank of America,2005,2005,29/06/2005,0,none,18000,PORT,North Carolina,North Carolina
7,CYN,3082,12,178566105,"City National Bank, Iron Mountain",2005,2005,06/07/2005,0,none,,PORT,California,California
8,BAC,7647,12,60505104,Bank of America,2005,2005,23/09/2005,0,none,,PORT,North Carolina,North Carolina
9,BA,2285,12,97023105,Boeing,2005,2005,18/11/2005,0,none,161000,PORT,Illinois,Illinois
10,AMP,164708,12,03076C106,Ameriprise Financial Inc.,2005,2005,25/12/2005,0,none,226000,PORT,Minnesota,Minnesota
11,HRB,2269,4,93671105,H&R Block,2005,2006,02/01/2006,0,none,,DISC,Missouri,Missouri
12,PBCT,16245,12,712704105,People's Bank,2006,2006,11/01/2006,0,none,90000,PORT,Connecticut,Connecticut
13,NYT,7866,12,650111107,Boston Globe (The New York Times Company),2006,2006,31/01/2006,0,none,240000,DISC,Massachusetts,New York
14,C,3243,12,172967424,Citibank,2010,2010,14/10/2010,0,none,,INSD,Kentucky,New York
15,VZ,2136,12,92343V104,Verizon Communications,2006,2006,08/03/2006,0,none,,PORT,New York,New York
16,ATV,177340,12,4854105,ACORN,2009,2009,24/11/2009,0,none,,DISC,California,California
17,BA,2285,12,97023105,Boeing,2006,2006,21/04/2006,0,none,3600,PORT,Washington,Illinois
18,MTB,4699,12,55261F104,M &T Bank via contractor PFPC,2006,2006,17/05/2006,0,none,,PORT,New York,New York
19,AIG,1487,12,26874784,American International Group (AIG),2006,2006,14/06/2006,0,none,930000,STAT,New York,New York
20,ADP,1891,6,53015103,Automatic Data Processing (ADP),2006,2006,17/06/2006,0,none,80,DISC,New Jersey,New Jersey
21,C,3243,12,172967424,Citigroup,2010,2010,24/02/2010,0,none,600000,DISC,New York,New York
22,ADP,1891,6,53015103,Automatic Data Processing (ADP),2006,2006,06/07/2006,0,none,,UNKN,New Jersey,New Jersey
23,CVC,12485,12,12686C109,"Cablevision Systems Corp., ACS, FedEx",2006,2006,25/07/2006,0,none,13700,PORT,New York,New York
24,CVX,2991,12,166764100,Chevron,2006,2006,16/08/2006,0,none,,PORT,California,California
25,AFL,1449,12,1055102,AFLAC  American Family Life Assurance Co.,2006,2006,22/08/2006,0,none,612,PORT,South Carolina,Georgia
26,HLYW,28600,12,436141105,Hollywood Video,2010,2010,09/04/2010,0,none,,PHYS,Nevada,Nevada
27,T,9899,12,00206R102,AT&T,2006,2006,29/08/2006,0,none,19000,HACK,California,Texas
28,WFC,8007,12,949746101,Wells Fargo,2006,2006,01/09/2006,0,none,,PORT,California,California
29,JPM,2968,12,46625H100,JP Morgan Chase & Co.,2006,2006,07/09/2006,0,none,2600000,PORT,Delaware,Virginia
30,TYO,,12,,Nikon Inc.,2006,2006,14/09/2006,0,none,3235,DISC,New York,Tokyo
31,PNC,8245,12,693475105,PNC Financial Services Group Inc.,2010,2010,18/03/2010,0,none,,CARD,Ohio,Pennsylvania
32,GE,5047,12,369604103,General Electric (GE),2006,2006,25/09/2006,0,none,50000,PORT,Connecticut,New York
33,SBUX,25434,12,855244109,Starbucks Corp.,2006,2006,03/11/2006,0,none,60080,PORT,Washington,Washington
34,ARCO,186785,12,G0457F107,Four ARCO gas stations,2006,2006,09/11/2006,0,none,440,CARD,California,California
35,AMTD,64552,9,87236Y108,TD Ameritrade,2006,2006,01/12/2006,0,none,300,PORT,Nebraska,Nebraska
36,BAC,7647,12,60505104,Bank of America,2006,2006,14/12/2006,0,none,,INSD,North Carolina,North Carolina
37,KEY,9783,12,493267108,KeyCorp,2006,2006,30/12/2006,0,none,9300,PORT,Ohio,Ohio
38,JPM,2968,12,46625H100,Chase Bank,2007,2007,26/01/2007,0,none,4100,PHYS,Louisiana,New York
39,SCHW,13988,12,808513105,Charles Schwab,2010,2010,09/04/2010,0,none,,HACK,New York,California
40,TYO,,12,,Dai Nippon,2007,2007,12/03/2007,0,none,,INSD,,Tokyo
41,BAC,7647,12,60505104,Bank of America,2007,2007,12/04/2007,0,none,,PORT,North Carolina,North Carolina
42,JPM,2968,12,46625H100,JP Morgan,2007,2007,01/05/2007,0,none,,PHYS,New York,New York
43,IBM,6066,12,459200101,IBM,2007,2007,15/05/2007,0,none,2226,PORT,New York,New York
44,JPM,2968,12,46625H100,JP Morgan Chase,2010,2010,12/06/2010,0,none,12,INSD,New Jersey,New York
45,HRB,2269,4,93671105,H&R Block,2009,2010,08/04/2010,0,none,20,INSD,New York,Missouri
46,PFE,8530,12,717081103,Pfizer,2007,2007,11/06/2007,0,none,17000,DISC,New York,New York
47,BAC,7647,12,60505104,Bank of America,2010,2010,07/04/2010,0,none,,INSD,North Carolina,North Carolina
48,AAL,1045,12,02376R102,American Airlines,2007,2007,20/06/2007,0,none,365,DISC,Texas,Texas
49,IBTX,17451,12,45384B106,Texas First Bank,2007,2007,22/06/2007,0,none,4000,PORT,Texas,Texas
50,DIS,3980,9,254687106,Disney Movie Club,2007,2007,11/07/2007,0,none,,INSD,Wisconsin,California
51,SAIC,18683,1,808625107,Science Applications International Corp. (SAIC),2006,2007,20/07/2007,0,none,867000,DISC,California,Virginia
52,EOAN,100590,12,268780103,E.On,2007,2007,02/08/2007,0,none,,PORT,Kentucky,Germany
53,WFC,8007,12,949746101,Wachovia,2010,2010,24/03/2010,0,none,,CARD,Washington,California
54,MER,113852,12,59017R107,Merrill Lynch,2007,2007,07/08/2007,0,none,33000,UNKN,New Jersey,North Carolina
55,PFE,8530,12,717081103,Pfizer,2007,2007,13/08/2007,0,none,950,PORT,New York,New York
56,TD,15706,10,891160509,TD Bank,2010,2010,13/03/2010,0,none,,INSD,New Jersey,New Jersey
57,T,9899,12,00206R102,AT&T,2007,2007,30/08/2007,0,none,,PORT,Texas,Texas
58,PFE,8530,12,717081103,Pfizer,2007,2007,04/09/2007,0,none,34000,INSD,New York,New York
59,ARW,1773,12,42735100,Arrow Electronics,2010,2010,08/03/2010,0,none,4044,PORT,New York,New York
60,C,3243,12,172967424,Citigroup,2007,2007,21/09/2007,0,none,5208,DISC,Illinois,New York
61,GPS,4990,1,364760108,Gap Inc.,2006,2007,28/09/2007,0,none,800000,PORT,California,California
62,T,9899,12,00206R102,AT&T,2010,2010,27/02/2010,0,none,,INSD,Illinois,Texas
63,STI,10187,12,867914103,SunTrust Bank,2010,2010,22/02/2010,0,none,200,CARD,Georgia,Georgia
64,BLIAQ,3491,12,93676104,Blockbuster,2007,2007,23/10/2007,0,none,,PHYS,Florida,Texas
65,HIG,61739,12,416515104,Hartford Financial Services Group,2007,2007,29/10/2007,0,none,230000,PORT,Connecticut,Connecticut
66,METR,16784,12,200519106,Commerce Bancorp,2007,2007,13/11/2007,0,none,,INSD,Pennsylvania,Pennsylvania
67,BBRG,185194,12,10567B109,Brio Tuscan Grille in Country Club Plaza,2010,2010,22/01/2010,0,none,20,CARD,Missouri,Ohio
68,JPM,2968,12,46625H100,CHASE,2010,2010,19/01/2010,0,none,,DISC,Kentucky,New York
69,FORR,64061,12,346563109,Forrester Research,2007,2007,05/12/2007,0,none,,PORT,Massachusetts,Massachusetts
70,SHLD,6307,1,812350106,Sears,2007,2008,07/01/2008,0,none,,DISC,Illinois,Illinois
71,GE,5047,12,369604103,GE Money,2008,2008,17/01/2008,0,none,150000,PORT,Massachusetts,New York
72,TRU,24638,12,89400J107,TransUnion,2008,2008,29/01/2008,0,none,400,INSD,Pennsylvania,Illinois
73,BK,2019,12,64058100,Bank of New York Mellon,2008,2008,26/03/2008,0,none,12500000,PORT,Pennsylvania,New York
74,PFE,8530,12,717081103,Pfizer Inc,2008,2008,07/04/2008,0,none,800,PORT,New York,New York
75,SDS,12144,12,867364002,SunGard,2008,2008,17/04/2008,0,none,,PORT,0,Pennsylvania
76,SAIC,18683,1,808625107,SAIC,2007,2008,06/03/2008,0,none,4690,PORT,Maryland,Virginia
77,PFE,8530,12,717081103,Pfizer,2008,2008,12/05/2008,0,none,13000,PORT,New York,New York
78,BBT,11856,12,54937107,BB&T Insurance,2008,2008,15/05/2008,0,none,,PORT,Virginia,North Carolina
79,DPZ,160211,12,25754A201,Domino's Pizza,2008,2008,18/06/2008,0,none,,PHYS,Arizona,Michigan
80,C,3243,12,172967424,Citibank,2008,2008,19/06/2008,0,none,,HACK,New York,New York
81,FB,170617,12,30303M102,Facebook,2008,2008,17/07/2008,0,none,80000000,DISC,California,California
82,WFC,8007,12,949746101,Wells Fargo,2008,2008,12/08/2008,0,none,5000,HACK,Minnesota,California
83,MCD,7154,12,580135101,Liberty McDonald's Restaurant,2008,2008,22/08/2008,0,none,,INSD,Kentucky,Illinois
84,BAC,7647,12,60505104,Bank of America,2010,2010,08/06/2010,0,none,,INSD,Florida,North Carolina
85,AAPL,1690,12,37833100,Apple Inc.,2010,2010,09/06/2010,0,none,120000,HACK,California,California
86,CAKE,25737,12,163072101,Cheesecake Factory,2010,2010,24/05/2010,0,none,,INSD,District Of Columbia,California
87,PFG,145701,12,74251V102,Principal Financial Group,2010,2010,14/05/2010,0,none,,HACK,Iowa,Iowa
88,LUX,20196,12,55068R202,Luxottica Group,2008,2008,26/11/2008,0,none,59419,HACK,Ohio,Milan
