"Event_ID","ticker","name","fiscal_year","event_year","event_date","confound_dum","confound_type","breach_size","breach_type","event_state","hq_state"
1,"AMR","AMR Corporation",2010,2010,"04/06/2010",0,"none",79000,"PORT","Texas","Texas"
2,"CPS","ChoicePoint",2005,2005,"15/02/2005",0,"none",163000,"INSD","Georgia","Georgia"
3,"BAC","Bank of America Corp.",2005,2005,"24/02/2005",0,"none",1200000,"PORT","North Carolina","North Carolina"
4,"IRM","Time Warner, Iron Mountain Inc.",2005,2005,"02/05/2005",0,"none",600000,"PORT","New York","New York"
5,"KODK","Eastman Kodak",2005,2005,"22/06/2005",0,"none",5800,"PORT","New York","New York"
6,"BAC","Bank of America",2005,2005,"29/06/2005",0,"none",18000,"PORT","North Carolina","North Carolina"
9,"BA","Boeing",2005,2005,"18/11/2005",0,"none",161000,"PORT","Illinois","Illinois"
10,"AMP","Ameriprise Financial Inc.",2005,2005,"25/12/2005",0,"none",226000,"PORT","Minnesota","Minnesota"
12,"PBCT","People's Bank",2006,2006,"11/01/2006",0,"none",90000,"PORT","Connecticut","Connecticut"
13,"NYT","Boston Globe (The New York Times Company)",2006,2006,"31/01/2006",0,"none",240000,"DISC","Massachusetts","New York"
17,"BA","Boeing",2006,2006,"21/04/2006",0,"none",3600,"PORT","Washington","Illinois"
19,"AIG","American International Group (AIG)",2006,2006,"14/06/2006",0,"none",930000,"STAT","New York","New York"
20,"ADP","Automatic Data Processing (ADP)",2006,2006,"17/06/2006",0,"none",80,"DISC","New Jersey","New Jersey"
21,"C","Citigroup",2010,2010,"24/02/2010",0,"none",600000,"DISC","New York","New York"
23,"CVC","Cablevision Systems Corp., ACS, FedEx",2006,2006,"25/07/2006",0,"none",13700,"PORT","New York","New York"
25,"AFL","AFLAC American Family Life Assurance Co.",2006,2006,"22/08/2006",0,"none",612,"PORT","South Carolina","Georgia"
27,"T","AT&T",2006,2006,"29/08/2006",0,"none",19000,"HACK","California","Texas"
29,"JPM","JP Morgan Chase & Co.",2006,2006,"07/09/2006",0,"none",2600000,"PORT","Delaware","Virginia"
30,"TYO","Nikon Inc.",2006,2006,"14/09/2006",0,"none",3235,"DISC","New York","Tokyo"
32,"GE","General Electric (GE)",2006,2006,"25/09/2006",0,"none",50000,"PORT","Connecticut","New York"
33,"SBUX","Starbucks Corp.",2006,2006,"03/11/2006",0,"none",60080,"PORT","Washington","Washington"
34,"ARCO","Four ARCO gas stations",2006,2006,"09/11/2006",0,"none",440,"CARD","California","California"
35,"AMTD","TD Ameritrade",2006,2006,"01/12/2006",0,"none",300,"PORT","Nebraska","Nebraska"
37,"KEY","KeyCorp",2006,2006,"30/12/2006",0,"none",9300,"PORT","Ohio","Ohio"
38,"JPM","Chase Bank",2007,2007,"26/01/2007",0,"none",4100,"PHYS","Louisiana","New York"
43,"IBM","IBM",2007,2007,"15/05/2007",0,"none",2226,"PORT","New York","New York"
44,"JPM","JP Morgan Chase",2010,2010,"12/06/2010",0,"none",12,"INSD","New Jersey","New York"
45,"HRB","H&R Block",2009,2010,"08/04/2010",0,"none",20,"INSD","New York","Missouri"
46,"PFE","Pfizer",2007,2007,"11/06/2007",0,"none",17000,"DISC","New York","New York"
